iter	Passed	Remaining
1305	18010	2675
1306	18024	2661
1307	18037	2647
1308	18050	2633
1309	18062	2619
1310	18076	2605
1311	18091	2592
1312	18106	2578
1313	18119	2564
1314	18131	2550
1315	18143	2536
1316	18157	2522
1317	18170	2509
1318	18184	2495
1319	18196	2481
1320	18210	2467
1321	18223	2453
1322	18236	2439
1323	18249	2425
1324	18263	2412
1325	18274	2398
1326	18287	2384
1327	18301	2370
1328	18316	2356
1329	18329	2342
1330	18345	2329
1331	18360	2315
1332	18375	2302
1333	18388	2288
1334	18402	2274
1335	18415	2260
1336	18427	2246
1337	18439	2232
1338	18451	2218
1339	18464	2204
1340	18478	2190
1341	18491	2177
1342	18505	2163
1343	18521	2149
1344	18535	2136
1345	18549	2122
1346	18561	2108
1347	18574	2094
1348	18588	2080
1349	18599	2066
1350	18613	2052
1351	18627	2039
1352	18640	2025
1353	18654	2011
1354	18665	1997
1355	18678	1983
1356	18691	1969
1357	18704	1955
1358	18716	1941
1359	18730	1928
1360	18746	1914
1361	18761	1900
1362	18775	1887
1363	18788	1873
1364	18800	1859
1365	18814	1845
1366	18827	1831
1367	18839	1817
1368	18851	1803
1369	18867	1790
1370	18878	1776
1371	18890	1762
1372	18903	1748
1373	18915	1734
1374	18927	1720
1375	18939	1706
1376	18952	1692
1377	18964	1678
1378	18977	1665
1379	18988	1651
1380	19001	1637
1381	19015	1623
1382	19028	1609
1383	19043	1596
1384	19058	1582
1385	19072	1568
1386	19086	1555
1387	19099	1541
1388	19111	1527
1389	19123	1513
1390	19136	1499
1391	19149	1485
1392	19162	1471
1393	19174	1458
1394	19187	1444
1395	19200	1430
1396	19213	1416
1397	19226	1402
1398	19238	1388
1399	19251	1375
1400	19267	1361
1401	19282	1347
1402	19297	1334
1403	19310	1320
1404	19323	1306
1405	19336	1292
1406	19349	1278
1407	19363	1265
1408	19375	1251
1409	19390	1237
1410	19404	1223
1411	19417	1210
1412	19433	1196
1413	19448	1182
1414	19462	1169
1415	19476	1155
1416	19489	1141
1417	19501	1127
1418	19513	1113
1419	19525	1100
1420	19540	1086
1421	19554	1072
1422	19566	1058
1423	19579	1044
1424	19593	1031
1425	19607	1017
1426	19622	1003
1427	19635	990
1428	19647	976
1429	19660	962
1430	19672	948
1431	19685	934
1432	19699	921
1433	19711	907
1434	19726	893
1435	19739	879
1436	19753	866
1437	19765	852
1438	19779	838
1439	19794	824
1440	19808	811
1441	19821	797
1442	19834	783
1443	19846	769
1444	19857	755
1445	19870	742
1446	19884	728
1447	19896	714
1448	19909	700
1449	19922	686
1450	19935	673
1451	19949	659
1452	19963	645
1453	19975	631
1454	19988	618
1455	20002	604
1456	20017	590
1457	20032	577
1458	20051	563
1459	20063	549
1460	20076	535
1461	20089	522
1462	20102	508
1463	20115	494
1464	20128	480
1465	20142	467
1466	20156	453
1467	20169	439
1468	20183	425
1469	20195	412
1470	20207	398
1471	20220	384
1472	20234	370
1473	20246	357
1474	20259	343
1475	20272	329
1476	20285	315
1477	20299	302
1478	20312	288
1479	20326	274
1480	20341	260
1481	20357	247
1482	20370	233
1483	20383	219
1484	20395	206
1485	20409	192
1486	20421	178
1487	20433	164
1488	20445	151
1489	20457	137
1490	20472	123
1491	20486	109
1492	20500	96
1493	20514	82
1494	20527	68
1495	20540	54
1496	20553	41
1497	20566	27
1498	20577	13
1499	20589	0
